column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,1700,1659,1659,1700,1700,1659,1740,1659,1659,1659,1700,1700,1659,1659,1700,1700,1659,1659,1740,1700,1659,1700,1700,1700,1659,1700,1700,1700,1700,1700,1740,1740,1740,1700,1740,1700,1740,1740,1740,1700,1700,1700,1700,1619,1700,1659,1700,1700,1740,1700,1619,1700,1700,1659,1700,1659,1700,1781,1659,1659,1700,1659,1700,1700,1781,1700,1740,1781,1740,1740,1700,1700,1700,1700,1781,1740,1700,1700,1740,1700,1700,1740,1700,1821,1821,1821,1781,1781,1902,1983,1942,1902,2023,2226,2226,1862,1700,1497,1821,2023
2016/12/02,1744,1868,1784,1784,1824,1696,1779,1863,1735,1784,1740,1784,1824,1784,1744,1744,1868,1784,1740,1824,1740,1696,1779,1868,1859,1784,1740,1824,1740,1744,1784,1784,1828,1824,1740,1779,1740,1700,1740,1740,1740,1784,1740,1784,1908,1744,1784,1824,1779,1824,1947,1784,1784,1735,1775,1775,1779,1824,1863,1863,1779,1943,1863,1863,1868,1740,1824,1824,1947,1824,1824,1735,1824,1656,1828,1868,1824,1824,1784,1819,1868,1784,1908,1908,1828,1828,2045,2084,2000,1921,1925,2040,2257,2098,2376,1245,1731,1479,1696,1947
2016/12/03,1491,1528,1568,1568,1612,1700,1652,1568,1656,1568,1568,1491,1572,1487,1528,1447,1528,1487,1451,1407,1451,1532,1528,1447,1491,1532,1491,1528,1572,1491,1487,1487,1487,1568,1576,1536,1572,1487,1572,1491,1487,1487,1487,1447,1447,1491,1491,1491,1532,1447,1487,1491,1491,1576,1528,1491,1532,1568,1568,1608,1528,1572,1487,1528,1608,1536,1487,1528,1608,1487,1487,1536,1528,1572,1528,1568,1447,1524,1568,1487,1487,1568,1483,1684,1604,1640,1676,1588,1584,1624,1749,1697,1821,1914,1452,1298,1379,1475,1427,2416
2016/12/04,2083,2123,2126,2166,2043,2043,1999,2126,2126,2079,2166,2039,2123,2036,1956,2039,2039,1996,1989,2076,2072,2076,2116,2036,1952,2036,2032,2036,1952,1992,2036,2076,1996,2036,2076,2076,1996,2036,1996,2036,2076,1912,1949,2072,1952,2036,2032,2028,2032,2076,2036,1952,1949,2112,2076,2155,2072,2079,2159,1996,2195,2116,1996,2119,2123,2116,2079,2163,1996,2036,2119,2072,2076,2087,1956,2166,2290,1960,2087,2123,1999,2087,1960,2097,2010,2177,2018,2141,2152,2029,2108,2348,2468,2381,2032,1459,2293,1963,2551,2333
2016/12/05,1677,1718,1634,1721,1721,1764,1764,1762,1762,1764,1806,1764,1762,1808,1767,1764,1764,1808,1813,1810,1810,1767,1808,1728,1687,1764,1726,1726,1769,1767,1767,1685,1767,1767,1767,1767,1767,1767,1767,1767,1849,1767,1810,1728,1685,1767,1726,1728,1728,1726,1728,1685,1728,1726,1767,1767,1767,1885,1844,1890,1847,1849,1849,1888,1885,1849,1762,1926,1972,1847,1762,1975,1931,1924,1885,1803,1759,1803,1757,1759,1721,1759,1677,1752,1796,1834,1663,1912,1904,1989,2276,2293,2223,2425,2854,2212,2069,1912,1778,2636
2016/12/06,1595,1679,1762,1719,1886,1760,1844,1846,1803,1762,1803,1760,1846,1760,1719,1719,1718,1677,1801,1803,1760,1844,1762,1840,1881,1801,1757,1760,1758,1718,1718,1842,1677,1799,1758,1718,1760,1677,1760,1680,1760,1801,1801,1799,1883,1842,1799,1840,1840,1840,1840,1797,1840,1923,1881,1840,1923,1890,1974,1931,1929,1927,1888,1888,1807,1807,1682,1684,1766,1680,1762,1764,1679,1682,1682,1638,1640,1638,1682,1638,1677,1599,1556,1897,1897,1896,1816,1910,1829,2114,1632,1692,2274,1441,2226,3513,2178,1812,1983,1406
2016/12/07,853,811,851,851,809,809,770,809,768,727,727,686,727,770,690,731,688,731,645,729,729,729,768,894,894,811,853,853,811,811,811,853,853,811,770,851,853,812,853,768,770,770,812,647,770,811,853,772,770,770,772,770,772,770,770,853,851,966,966,966,926,887,887,885,803,805,764,720,764,768,684,601,607,683,723,770,686,768,725,770,770,768,727,1041,1122,1081,1078,1072,1232,1104,1228,838,447,390,2844,2534,1083,675,20,20
2016/12/08,1871,1874,1956,1830,1956,1871,1953,1915,1912,1912,1915,1958,2043,1958,1915,1830,1876,1956,1869,1956,1787,1912,1874,1915,1917,1958,1871,1871,1915,1830,1915,1871,1915,1912,1953,1830,1828,1784,1825,1869,1912,1830,1828,1953,1830,1833,1830,1828,1871,1787,1830,1871,1869,1953,1995,1956,1953,2012,1968,2009,1968,2007,1922,1886,1968,1840,1922,1840,1879,1833,1830,1874,1956,1922,2002,1953,2123,2002,2084,1997,1912,1999,2041,1673,1673,1586,1381,1383,1178,1224,1195,1169,1169,1162,1594,3119,4733,3849,1698,2854
2016/12/09,2003,2043,2086,2007,2083,2043,2043,2043,2086,2003,2043,1999,1956,1959,1963,1963,1959,1963,2047,1959,2007,1963,1963,1963,1876,1880,1880,1880,1880,1923,1920,1923,1920,1963,1963,2003,1963,1967,1967,2003,1880,1959,1923,1963,2007,1876,1963,1967,1959,1883,2003,2003,1920,1956,1999,1956,2083,2014,2101,1978,1934,2021,1941,1941,1898,1865,1905,1861,1825,1912,1956,1912,1916,2028,1949,1999,1996,1952,1949,2036,2083,2076,1992,2108,1988,2032,1916,1952,1709,1702,1328,987,820,733,348,1781,2318,3469,1255,1251
2016/12/10,1817,1817,1772,1857,1772,1732,1772,1692,1648,1728,1692,1648,1776,1732,1728,1768,1732,1772,1732,1817,1732,1772,1813,1684,1728,1724,1768,1768,1768,1849,1724,1809,1768,1849,1764,1805,1849,1764,1809,1768,1809,1724,1849,1849,1849,1893,1853,1809,1813,1893,1853,1809,1813,1728,1688,1728,1732,1756,1712,1756,1756,1752,1832,1712,1708,1748,1708,1788,1824,1784,1744,1828,1832,1869,1909,1905,1953,1953,1993,1913,2037,1953,1993,2033,2033,2070,2110,2110,2182,2223,2251,2042,1660,1126,856,819,1229,1016,683,768
