column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,1922.0,1922.7,1927.1,1932.3,1937.2,1941.2,1945.3,1948.5,1950.6,1951.6,1951.3,1949.7,1947.2,1944.3,1941.4,1939.0,1937.4,1936.8,1937.2,1938.3,1939.9,1941.6,1943.2,1944.4,1945.3,1946.1,1947.2,1948.7,1951.0,1954.4,1958.8,1964.1,1969.8,1975.5,1980.4,1984.4,1987.0,1987.8,1987.1,1985.0,1981.7,1977.8,1973.4,1968.8,1964.6,1960.7,1957.4,1954.7,1952.5,1950.6,1948.7,1946.8,1944.8,1942.5,1940.0,1937.6,1935.6,1934.0,1933.3,1933.2,1933.8,1935.0,1936.6,1938.3,1940.1,1941.5,1942.7,1943.9,1945.2,1946.7,1948.3,1950.2,1952.3,1954.3,1955.9,1956.9,1956.9,1956.0,1954.5,1952.7,1950.9,1949.5,1948.8,1949.4,1951.3,1954.5,1958.6,1963.4,1968.6,1973.6,1977.7,1980.5,1981.4,1980.4,1976.8,1970.1,1964.9,1955.5,1942.5,1922.0
2016/12/02,1704.0,1703.4,1710.9,1718.6,1724.3,1728.5,1732.7,1735.7,1737.1,1737.8,1737.9,1737.6,1737.2,1736.7,1736.2,1735.8,1735.3,1734.5,1733.7,1733.0,1732.9,1733.4,1734.8,1736.8,1739.3,1741.8,1743.6,1743.8,1742.3,1738.7,1733.6,1727.2,1720.6,1714.4,1709.3,1705.8,1704.1,1703.9,1704.9,1706.4,1708.3,1710.2,1712.2,1714.3,1716.4,1718.4,1720.3,1722.0,1723.2,1723.3,1721.9,1719.0,1714.7,1709.2,1703.0,1696.6,1691.0,1687.0,1685.1,1685.5,1688.3,1693.1,1699.8,1708.0,1717.0,1726.2,1735.2,1744.0,1752.1,1759.1,1764.4,1768.0,1770.0,1770.4,1769.3,1767.2,1764.1,1760.8,1757.6,1754.8,1752.3,1749.9,1747.6,1745.5,1743.1,1740.3,1737.6,1735.1,1733.1,1732.1,1732.3,1733.9,1736.7,1740.6,1745.1,1749.7,1755.2,1760.2,1763.6,1765.0
2016/12/03,1492.0,1485.1,1478.6,1473.9,1471.7,1469.2,1467.8,1467.6,1468.4,1469.9,1471.9,1474.0,1475.8,1477.1,1477.9,1478.3,1478.7,1479.0,1479.4,1480.0,1480.9,1482.0,1483.0,1483.5,1483.1,1481.5,1478.2,1473.1,1466.1,1457.4,1447.4,1436.9,1426.5,1417.1,1409.3,1403.7,1400.5,1399.5,1400.7,1403.7,1407.9,1413.1,1418.9,1425.0,1431.2,1437.4,1443.3,1448.8,1453.3,1456.7,1458.6,1459.0,1458.1,1456.4,1454.7,1453.5,1453.9,1456.3,1461.1,1467.9,1476.5,1486.0,1495.6,1504.2,1511.3,1516.5,1519.6,1520.7,1520.4,1518.7,1516.2,1512.7,1508.4,1503.2,1496.6,1488.5,1479.1,1468.5,1457.4,1446.5,1436.5,1428.1,1421.9,1417.9,1416.1,1416.0,1417.0,1418.3,1419.1,1419.1,1417.9,1415.5,1412.3,1408.4,1404.5,1401.8,1397.8,1395.2,1394.9,1401.0
2016/12/04,1344.0,1344.4,1347.4,1349.1,1349.2,1349.8,1351.0,1352.0,1353.2,1354.8,1356.5,1358.2,1359.5,1359.8,1358.5,1355.4,1350.5,1343.7,1335.6,1326.8,1318.5,1311.7,1307.0,1305.2,1306.2,1310.2,1316.8,1325.2,1334.5,1343.7,1351.9,1358.4,1362.7,1364.7,1364.2,1361.9,1358.3,1354.5,1350.9,1348.3,1346.9,1347.2,1348.8,1351.4,1354.5,1357.6,1360.0,1361.5,1362.0,1361.6,1360.2,1358.4,1356.4,1354.7,1353.6,1353.5,1354.5,1356.7,1360.3,1364.9,1370.5,1376.6,1382.8,1388.6,1393.6,1397.4,1399.7,1400.2,1399.0,1395.9,1391.2,1384.9,1377.2,1368.4,1359.0,1349.4,1340.3,1332.2,1325.7,1321.4,1319.8,1320.6,1323.5,1327.9,1333.0,1337.9,1341.9,1344.7,1346.2,1346.5,1346.4,1346.7,1347.4,1349.6,1353.6,1356.5,1361.8,1369.8,1377.3,1370.0
2016/12/05,1777.0,1804.7,1817.0,1823.8,1826.7,1833.1,1835.6,1836.9,1837.9,1838.7,1840.1,1842.6,1846.1,1850.8,1856.4,1862.8,1869.2,1875.5,1881.1,1885.6,1888.6,1889.7,1888.4,1884.5,1877.8,1868.6,1857.5,1845.4,1833.0,1821.8,1812.9,1807.6,1806.5,1809.8,1817.1,1827.7,1840.5,1854.4,1867.9,1879.9,1889.3,1895.9,1899.6,1900.7,1899.3,1895.8,1890.5,1884.1,1877.1,1869.9,1863.1,1857.2,1852.8,1850.5,1850.6,1853.3,1858.3,1865.2,1873.5,1882.5,1891.1,1898.7,1904.5,1908.0,1909.2,1908.2,1905.5,1901.5,1896.9,1892.4,1888.5,1886.0,1884.9,1885.7,1888.1,1892.0,1897.3,1903.4,1909.7,1915.7,1920.6,1924.2,1926.0,1925.7,1923.2,1918.6,1912.1,1904.4,1895.7,1886.8,1878.1,1869.9,1861.9,1854.7,1847.9,1838.9,1832.4,1825.4,1815.6,1793.0
2016/12/06,1392.0,1385.2,1387.3,1393.1,1402.3,1409.2,1418.8,1429.7,1441.1,1452.5,1463.4,1472.6,1479.6,1483.5,1483.8,1480.3,1472.9,1462.3,1449.2,1434.9,1420.6,1407.7,1397.5,1391.0,1388.5,1389.9,1394.8,1402.3,1411.4,1421.0,1430.0,1437.8,1444.0,1448.9,1452.6,1455.7,1458.4,1461.3,1464.8,1468.7,1473.1,1477.4,1481.3,1484.1,1485.5,1484.9,1482.4,1477.9,1471.9,1465.2,1458.6,1452.8,1448.6,1446.3,1445.8,1446.8,1448.4,1449.7,1450.0,1448.6,1445.1,1439.7,1432.6,1424.4,1416.0,1408.6,1402.4,1398.0,1395.4,1394.9,1396.0,1398.6,1401.9,1405.9,1410.2,1414.7,1419.3,1424.1,1429.0,1434.2,1439.7,1445.5,1451.5,1457.1,1462.1,1465.8,1467.7,1467.1,1463.8,1457.7,1449.0,1438.3,1426.6,1414.2,1402.6,1393.6,1381.8,1373.7,1370.6,1378.0
2016/12/07,1815.0,1813.3,1805.3,1796.5,1788.3,1780.8,1772.1,1764.1,1757.0,1751.0,1746.9,1744.9,1744.8,1746.5,1750.0,1754.5,1759.5,1763.9,1767.0,1768.5,1768.2,1766.2,1762.9,1758.7,1754.6,1751.2,1749.2,1748.7,1749.7,1752.0,1755.1,1758.7,1762.2,1765.1,1766.9,1767.5,1766.8,1764.7,1761.4,1757.2,1752.5,1747.4,1742.3,1737.2,1732.2,1727.0,1721.6,1715.9,1710.2,1704.9,1700.6,1697.9,1697.3,1699.1,1703.3,1709.7,1717.3,1725.2,1732.2,1737.6,1740.8,1741.6,1740.5,1738.4,1736.2,1735.0,1735.4,1737.9,1742.0,1747.0,1751.8,1755.4,1757.0,1756.3,1753.3,1748.8,1743.6,1739.1,1736.3,1735.8,1737.6,1741.4,1746.4,1751.6,1756.0,1759.0,1760.1,1759.4,1757.4,1754.7,1752.3,1750.5,1750.0,1750.9,1752.9,1755.9,1760.2,1764.9,1768.7,1771.0
2016/12/08,1694.0,1711.4,1717.5,1722.7,1730.1,1739.3,1747.7,1757.6,1768.4,1779.3,1789.8,1799.0,1805.9,1809.8,1810.5,1807.8,1801.9,1793.4,1783.4,1772.7,1762.1,1752.4,1744.2,1738.1,1734.2,1732.5,1732.8,1734.9,1738.5,1743.2,1748.5,1753.9,1759.1,1763.5,1767.2,1770.0,1772.1,1773.6,1774.8,1776.0,1777.0,1777.9,1778.3,1777.9,1776.6,1773.9,1770.0,1765.1,1759.8,1754.8,1750.8,1748.4,1748.2,1750.2,1754.3,1759.8,1766.1,1772.2,1777.6,1781.7,1784.7,1786.4,1787.2,1787.3,1787.2,1787.1,1787.0,1786.5,1785.6,1784.1,1782.5,1780.7,1778.9,1777.1,1775.6,1774.1,1772.9,1771.4,1769.3,1766.2,1762.4,1757.9,1753.4,1749.3,1746.2,1744.8,1745.5,1748.3,1753.0,1759.0,1765.6,1771.8,1777.1,1781.0,1783.1,1783.0,1783.6,1780.9,1775.5,1767.0
2016/12/09,2088.0,2094.8,2093.4,2088.3,2080.3,2074.6,2067.1,2059.4,2052.4,2046.5,2042.5,2041.0,2042.1,2045.8,2051.8,2059.7,2068.4,2077.7,2086.7,2094.9,2101.7,2106.6,2109.5,2110.5,2109.8,2107.8,2105.1,2102.3,2100.3,2099.5,2100.4,2103.0,2107.3,2113.0,2119.3,2125.5,2130.8,2134.6,2136.2,2135.5,2132.2,2126.4,2118.6,2109.2,2098.6,2087.1,2075.1,2062.8,2050.9,2039.9,2030.2,2022.5,2017.4,2015.4,2016.8,2021.5,2029.0,2038.5,2048.7,2058.5,2066.7,2072.3,2074.8,2074.1,2070.3,2064.5,2057.6,2050.8,2045.1,2041.2,2039.2,2039.5,2041.7,2045.4,2050.0,2054.8,2059.4,2063.5,2066.9,2069.5,2070.8,2070.9,2069.6,2067.0,2063.2,2058.6,2053.5,2048.8,2044.8,2042.0,2040.9,2041.4,2042.9,2045.7,2048.4,2048.3,2052.4,2053.8,2049.6,2029.0
2016/12/10,1750.0,1765.6,1773.7,1780.3,1787.6,1796.6,1805.3,1815.1,1826.1,1837.8,1849.8,1861.2,1871.2,1878.8,1883.5,1884.8,1883.1,1878.9,1872.9,1866.3,1859.8,1854.3,1850.6,1848.7,1848.4,1849.1,1850.2,1851.4,1852.1,1852.0,1851.0,1848.8,1845.6,1841.7,1837.2,1832.1,1826.4,1820.2,1813.8,1807.6,1802.2,1798.1,1795.7,1795.7,1798.2,1803.4,1810.7,1819.2,1827.7,1835.2,1840.5,1843.2,1842.6,1839.3,1833.7,1827.0,1820.0,1813.6,1808.2,1804.1,1800.7,1797.8,1794.8,1791.4,1787.3,1782.7,1778.0,1774.1,1771.2,1770.1,1770.8,1773.3,1777.1,1781.6,1786.1,1790.1,1792.7,1794.1,1794.0,1792.7,1790.4,1787.3,1783.6,1779.8,1775.7,1771.6,1767.6,1764.0,1761.1,1759.3,1759.1,1761.0,1765.6,1773.0,1783.7,1797.8,1811.0,1829.6,1852.3,1879.0
