column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,1781,1821,1740,1781,1781,1740,1781,1781,1821,1781,1781,1740,1659,1902,1578,1740,1740,1700,1700,1740,1821,1700,1862,1740,1700,1821,1781,1942,1781,1740,1781,1740,1740,1740,1740,1821,1781,1700,1659,1781,1740,1740,1659,1659,1700,1781,1821,1902,1659,1781,1902,1942,1821,1781,1781,1781,1821,1781,1781,1862,1740,1781,1862,1821,1781,1781,1781,1781,1821,1781,1781,1781,1821,1781,1781,1740,1821,1781,1781,1781,1781,1781,1781,1781,1740,1781,1740,1740,1740,1740,1740,1700,1821,1700,1740,1740,1781,1700,1740,1740
2016/12/02,1859,1691,1824,1775,1859,1771,1819,1775,1735,1815,1696,1815,1731,1651,1749,1607,1678,1687,1696,1696,1554,1775,1726,1731,1855,1762,1961,1841,1775,1771,1819,2274,2106,1779,1961,1815,1969,1726,1899,1855,1726,1837,1722,1625,1837,1757,1930,1541,1801,1894,1841,1881,1899,1859,1815,1859,1863,1859,1775,1779,1859,1824,1775,1819,1815,1859,1815,1947,1819,1771,1815,1855,1903,1859,1815,1815,1859,1855,1855,1903,1855,1815,1859,1731,1899,1859,1726,1810,1771,1771,1643,1855,1815,1731,1810,1735,1775,1603,1810,1647
2016/12/03,1568,1700,1652,1656,1612,1737,1688,1572,1696,1656,1536,1660,1656,1620,1688,1664,1749,1620,1612,1817,1837,1656,1660,1704,1568,1745,1580,1443,1652,1889,1930,1363,1885,1688,1773,1905,1612,1656,1688,1737,1704,1789,1668,1728,1789,1986,1865,1953,1865,1942,1749,2026,1986,1648,1692,1692,1648,1652,1777,1648,1729,1648,1737,1737,1821,1648,1781,1608,1696,1777,1696,1777,1696,1692,1737,1692,1729,1777,1737,1692,1741,1737,1692,1660,1692,1648,1704,1620,1616,1781,1745,1700,1660,1704,1704,1616,1532,1704,1700,1704
2016/12/04,2105,2195,2235,2065,2105,2021,2195,2145,2021,2145,2061,1974,2268,2025,2195,2101,2050,2184,2112,2145,2010,1974,2177,2184,2105,2054,1970,2054,2148,1927,1843,2148,1981,2116,2159,2195,2145,2065,2159,2065,2141,2148,2134,2344,1970,2315,2195,2250,2152,2235,2275,1905,2108,2065,2065,2105,2025,2028,2028,1985,2028,2028,2068,2108,2028,2025,2112,1985,1898,1989,2065,2068,2192,1981,1981,2108,1985,2025,2025,2068,2105,2108,2065,2018,2028,2072,2061,1891,2061,2021,2145,2021,1974,2101,2018,2101,1978,2018,2021,2018
2016/12/05,2188,2096,2178,2185,2142,2226,2221,2188,2057,2144,2188,2190,2098,2226,2221,2270,2272,2142,2221,2393,2396,2354,2270,2434,2391,2396,2478,2722,2345,2398,2691,2301,2388,2342,2381,2337,2350,2473,2255,2267,2352,2016,2323,1980,2226,2055,2134,1965,2260,2021,1929,2023,1764,2306,2308,2391,2308,2347,2306,2224,2221,2224,2221,2183,2267,2267,2180,2267,2229,2224,2226,2226,2180,2226,2226,2183,2185,2226,2270,2142,2226,2267,2183,2147,2142,2139,2147,2234,2188,2144,2185,2105,2149,2105,2190,2103,2193,2229,2147,2147
2016/12/06,1608,1612,1530,1608,1565,1608,1610,1525,1564,1484,1521,1564,1443,1606,1731,1688,1692,1775,1816,1946,1818,1897,2031,1949,2027,2025,1749,1946,1948,2074,1879,1705,1912,1870,1829,1875,1910,1912,1784,1706,1909,1909,1903,1940,2152,1814,1981,1773,1859,1897,1818,1808,1764,1612,1614,1571,1612,1571,1614,1528,1571,1530,1569,1569,1528,1567,1527,1567,1564,1567,1606,1608,1567,1564,1565,1564,1564,1606,1565,1606,1523,1523,1523,1604,1608,1565,1562,1562,1565,1564,1564,1562,1562,1603,1562,1519,1603,1564,1645,1645
2016/12/07,718,590,549,634,636,636,634,638,597,467,518,475,725,679,720,720,594,590,755,749,751,675,798,749,788,707,712,623,621,534,786,710,493,705,490,534,659,705,581,621,497,540,668,792,837,959,709,586,710,670,627,927,929,592,508,469,427,427,427,388,386,388,430,347,388,391,432,432,393,391,391,432,390,518,516,558,558,475,391,391,436,393,477,477,473,391,479,436,434,434,477,519,477,477,477,479,477,477,477,436
2016/12/08,159,118,161,159,115,115,76,154,71,115,115,156,69,156,120,159,69,159,76,79,122,120,142,122,125,79,120,168,168,84,20,258,84,20,94,176,99,11,183,142,181,137,101,142,20,135,132,173,132,219,176,125,210,120,120,159,161,161,161,202,161,159,115,156,115,113,156,156,113,197,154,156,156,69,113,156,154,197,154,154,195,113,154,159,159,156,154,154,151,195,154,151,192,151,151,108,149,149,192,108
2016/12/09,2061,2181,2141,2065,2109,2065,2181,2152,2148,2148,2065,2069,2232,2304,2221,2181,2312,2304,2381,2297,2054,2217,2040,2007,2210,2257,2098,2130,1916,2250,2377,2381,2163,2152,2040,1989,2032,1996,1876,1876,1833,1873,1880,1789,1880,1756,1960,1920,1960,1916,1956,2174,1920,2061,1978,2021,2021,2021,1982,2025,1982,2025,2069,1985,1985,2069,2109,1985,2112,2025,2109,2109,2109,2032,2152,1985,2069,2029,2029,2072,2032,2072,2072,2025,2025,2029,2152,2072,2032,2032,2072,2116,2076,2036,2116,2159,2036,2119,2036,2119
2016/12/10,1890,1902,1982,2018,1978,2231,1813,2010,1978,2107,1902,2022,1858,2111,2075,2071,2111,1914,2034,1982,1998,2151,2034,2195,2030,2287,2291,2287,2372,2046,1990,2239,2082,2251,2046,2123,2042,1966,1881,1849,1721,1801,1885,1885,1922,1998,1874,1793,1801,1849,1962,1918,2119,1938,2099,2059,1886,1978,2059,2143,1974,2059,1978,2018,1974,2022,1938,1934,1898,1978,2022,1934,1894,1978,1978,1974,1978,1978,1934,2014,2059,1974,2018,1934,1978,2059,1974,2059,2014,1970,2135,1966,1922,2047,1966,2010,2010,2051,2131,2131
2016/12/11,1971,1883,1922,1804,1848,1834,1971,1897,1888,1839,1804,1799,1844,1834,1829,1716,1750,1829,1829,2001,1868,1991,1947,1947,1987,1815,1893,1810,1893,1977,1819,1908,1938,1770,1859,1775,1775,1898,1775,1731,1741,1741,1815,1657,1829,1780,2065,1942,1741,1746,1780,1785,1824,1962,1962,1927,2138,2050,2050,1927,1967,1927,1967,1927,2050,1848,1927,1927,1888,2011,1922,1932,2016,1804,2006,2011,1967,1883,1971,1971,1888,1932,1848,2011,1848,1848,1932,1888,1893,1976,1932,1981,2025,1937,1981,1937,1893,1937,1976,2055
2016/12/12,1923,1923,1923,1843,1963,1923,1843,1883,1923,1843,1883,1843,1843,1763,1803,1803,1683,1923,1803,1603,1883,1763,1683,1723,1763,1763,1843,1683,1723,1763,1803,1643,1603,1723,1603,1562,1522,1723,1522,1603,1603,1603,1522,1643,1562,1723,1723,1683,1643,1603,1683,1683,1683,1803,1803,1803,1883,1883,1843,1843,1803,1843,1803,1843,1803,1883,1803,1803,1803,1843,1763,1843,1883,1843,1803,1803,1803,1803,1803,1843,1883,1843,1883,1763,1923,1923,1963,1963,1963,1923,1963,2003,2003,1963,2043,1963,2003,2003,2003,2003
2016/12/13,1637,1682,1637,1682,1682,1682,1637,1637,1682,1682,1591,1591,1637,1637,1682,1591,1637,1637,1637,1637,1637,1591,1728,1637,1682,1637,1819,1728,1591,1682,1773,1637,1728,1637,1773,1819,1682,1728,1682,1591,1591,1546,1455,1546,1591,1591,1546,1546,1546,1319,1455,1410,1410,1728,1728,1682,1728,1682,1682,1728,1773,1682,1682,1682,1728,1682,1682,1682,1637,1728,1637,1637,1682,1637,1637,1682,1682,1728,1637,1637,1591,1637,1682,1546,1637,1591,1546,1546,1591,1591,1591,1546,1591,1591,1591,1637,1591,1591,1546,1591
2016/12/14,2099,2099,2054,2099,2055,2143,2099,2144,2009,2055,2055,2010,2010,2010,1965,1966,2099,2011,2010,2231,2055,1878,2142,2054,2010,2143,2053,2010,1922,2010,2009,2056,1967,2143,2055,2142,2099,2011,1922,2101,1877,1656,1789,1877,1788,1833,1744,2011,1789,1701,1834,1480,2010,2099,2099,2054,2099,2054,2054,2054,1921,2010,2010,1921,1966,1965,2010,2055,1921,2009,2010,2055,2010,2010,1921,1921,1965,1965,1965,2010,1965,1966,1921,1966,2099,1966,2055,2010,2010,2010,2010,2011,1966,1966,1966,1966,1966,2055,2011,2055
2016/12/15,1590,1679,1723,1679,1590,1679,1679,1723,1635,1546,1590,1635,1635,1635,1679,1723,1635,1723,1679,1635,1679,1679,1723,1635,1679,1855,1546,1590,1723,1723,1900,1723,1767,1811,1723,1723,1679,1679,1590,1502,1546,1369,1723,1104,1502,1679,1458,1502,1635,1679,1679,2076,1679,1679,1635,1723,1635,1635,1590,1635,1635,1635,1635,1590,1590,1590,1679,1590,1679,1590,1679,1590,1590,1635,1635,1679,1590,1679,1590,1590,1590,1635,1635,1635,1723,1546,1635,1679,1590,1679,1635,1679,1635,1590,1635,1679,1635,1635,1723,1679
2016/12/16,1712,1624,1625,1668,1712,1799,1755,1669,1669,1668,1669,1624,1624,1581,1712,2009,1624,1624,1537,1450,1756,1711,1667,1625,1755,1448,2235,1450,2664,2148,1670,2148,1668,1798,1319,2014,1539,1712,1625,1975,1844,1626,1844,1669,2106,2020,1888,2284,2147,2017,1975,1886,1974,1712,1712,1799,1712,1712,1668,1625,1756,1756,1712,1844,1712,1799,1756,1668,1800,1800,1712,1756,1625,1712,1668,1536,1668,1668,1624,1712,1756,1712,1712,1712,1667,1757,1670,1625,1625,1669,1712,1712,1713,1625,1713,1800,1712,1669,1756,1669
2016/12/17,1558,1601,1514,1602,1645,1557,1558,1559,1515,1472,1559,1472,949,1516,1472,642,1428,1428,1602,1733,1472,1341,1469,1645,1471,1688,772,1733,1252,1686,1777,687,1689,1340,1904,1337,1950,1818,1818,1645,1818,1949,2035,2035,1861,2209,1860,1817,2036,1470,1557,1295,948,1558,1601,1601,1688,1688,1731,1775,1732,1775,1775,1775,1731,1775,1775,1775,1688,1731,1601,1732,1732,1688,1732,1645,1688,1601,1731,1601,1645,1645,1688,1775,1601,1689,1733,1602,1688,1689,1602,1645,1559,1689,1688,1559,1645,1645,1645,1602
2016/12/18,2229,2229,2272,2229,2230,2229,2144,2101,2315,2101,2059,2144,1886,2101,2016,2056,1971,1972,2058,1668,1972,1929,2013,2058,2057,2186,2229,2272,2355,2315,2270,2313,2442,2355,1968,2054,2097,2357,2356,2271,2270,2229,1971,2012,2185,1756,1843,1884,1971,1971,1541,1888,1672,2143,2143,2143,2100,2100,2100,2186,2144,2144,2058,2058,2015,2015,2101,1930,1973,1801,1929,1801,1930,1887,1929,1930,1973,1972,1930,1930,2101,2015,2016,2015,1929,1930,1974,2144,1887,2059,2016,2059,2059,1973,2059,1973,2016,1973,1930,1973
2016/12/19,906,821,821,863,906,778,949,906,734,734,648,648,863,863,819,693,906,777,2667,20,906,649,822,734,736,434,605,778,694,606,1467,523,994,909,824,651,995,821,651,1294,694,1294,864,737,393,1119,1293,736,20,181,177,1505,1034,821,778,778,735,778,821,821,778,778,820,777,820,820,563,862,820,819,777,691,776,777,820,733,777,777,948,820,862,777,776,777,777,905,990,691,776,862,777,734,819,819,733,776,776,905,776,733
2016/12/20,990,1033,1076,1033,989,1034,946,990,946,946,989,946,860,946,903,775,903,947,992,1032,774,860,906,904,948,863,735,649,992,861,904,862,905,992,1079,1210,949,903,1034,1123,1078,991,1121,1251,1076,1121,1163,1250,1207,1509,1426,1337,1466,947,946,946,1033,1033,1033,1033,989,1032,989,989,1076,1033,1031,988,1075,1032,1032,1031,1075,1032,1075,1075,1075,1075,1032,1075,1075,1119,1075,988,1032,1075,1162,1031,1075,1032,1032,1031,988,1075,1074,1031,1075,1075,1031,1031
2016/12/21,2013,2056,2013,2013,2012,2013,2057,2056,2056,2012,1924,1969,2012,2407,1924,1839,1793,1706,1752,2275,1531,1618,1708,1970,1663,1183,1489,1183,1489,1750,1486,1532,1664,1840,1665,1535,1620,2100,2190,2147,2585,2190,2102,2627,2454,2584,2144,2408,2453,2232,1883,1444,2408,1882,1925,1925,1881,1969,1969,1969,2100,2100,2187,2187,2144,2275,2231,2274,2144,2143,2274,2142,2274,2187,2187,2099,2144,2231,2231,2143,2187,2187,2231,2231,2143,2099,2187,2186,2100,2144,2143,2099,2055,2230,2230,2143,2099,2055,2143,2142
2016/12/22,2430,2341,2297,2297,2297,2253,2253,2253,2297,2341,2518,2253,2341,2253,2253,2209,2076,2253,2165,2209,2120,2209,2120,2165,2253,2253,2209,2386,2341,2341,2386,2297,2430,2562,1988,2253,2386,2518,2297,2297,2386,2474,2518,2120,2297,2120,2474,2341,1988,2076,2032,2651,2120,2341,2253,2297,2386,2386,2341,2341,2474,2518,2297,2386,2606,2386,2386,2783,2474,2430,2518,2827,2474,2651,2518,2562,2386,2518,2474,2518,2651,2474,2430,2386,2430,2606,2474,2386,2518,2341,2474,2518,2695,2474,2386,2474,2341,2430,2430,2430
2016/12/23,1386,1475,1431,1386,1386,1431,1518,1430,1386,1341,1430,1297,1342,1387,1341,1386,1430,1385,1342,1386,1340,1385,1430,1343,1341,1653,1386,1431,1521,1343,1564,1254,1343,1167,1344,1476,1563,1476,1389,1434,1787,1212,1390,1167,1434,1255,1254,1432,505,1255,1386,1345,1520,1430,1429,1429,1430,1386,1430,1430,1387,1475,1430,1386,1387,1342,1386,1432,1387,1431,1387,1432,1387,1342,1387,1476,1520,1431,1431,1431,1298,1387,1475,1563,1430,1341,1430,1519,1431,1474,1474,1430,1341,1474,1385,1386,1474,1474,1430,1429
2016/12/24,1773,1773,1773,1728,1728,1773,1773,1773,1773,1728,1637,1591,1682,1728,1728,1637,1591,1637,1546,1637,1637,1591,1546,1501,1591,1501,1501,1546,1591,1501,1455,1728,1546,1546,1591,1591,1637,1591,1591,1455,1455,1501,1455,1637,1591,1682,1819,1637,1637,1728,1637,1591,1682,1819,1819,1819,1819,1773,1773,1819,1819,1819,1864,1864,1819,1728,1819,1728,1819,1864,1819,1773,1773,1773,1773,1728,1819,1819,1773,1819,1773,1819,1864,1864,1864,1910,1864,1864,1773,1864,1864,1910,1864,1864,1864,1819,1864,1819,1819,1864
