column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,1659,1659,1659,1659,1659,1578,1659,1619,1578,1619,1619,1659,1619,1619,1659,1700,1619,1619,1619,1659,1578,1619,1578,1578,1619,1619,1619,1619,1619,1619,1578,1619,1659,1578,1578,1619,1659,1578,1619,1538,1619,1659,1619,1578,1659,1659,1619,1659,1619,1578,1578,1578,1619,1578,1538,1619,1619,1578,1578,1619,1619,1578,1538,1619,1619,1538,1659,1578,1619,1659,1538,1578,1578,1538,1578,1578,1619,1659,1619,1578,1578,1538,1578,1619,1538,1578,1619,1578,1578,1497,1578,1578,1538,1578,1578,1619,1578,1619,1619,1538
2016/12/02,1771,1629,1726,1550,1643,1678,1682,1726,1638,1815,1607,1643,1762,1634,1718,1682,1846,1550,1643,1638,1678,1678,1594,1589,1536,1594,1678,1634,1638,1545,1722,1678,1638,1506,1638,1638,1559,1554,1589,1673,1682,1643,1762,1594,1510,1589,1762,1718,1678,1634,1629,1501,1594,1647,1541,1638,1771,1718,1589,1607,1638,1638,1629,1673,1731,1598,1598,1589,1510,1594,1678,1678,1718,1638,1634,1638,1638,1559,1678,1718,1643,1598,1585,1598,1545,1687,1643,1506,1589,1581,1598,1598,1589,1559,1514,1598,1594,1554,1598,1585
2016/12/03,1503,1845,1503,1724,1588,1471,1628,1628,1672,1580,1423,1588,1588,1632,1664,1668,1668,1716,1547,1668,1628,1632,1632,1885,1849,1676,1383,1672,1588,1809,1547,1632,1632,1600,1547,1632,1672,1596,1680,1636,1588,1592,1588,1511,1600,1676,1632,1592,1507,1511,1636,1604,1760,1463,1688,1632,1544,1551,1680,1343,1632,1588,1563,1596,1294,1515,1592,1676,1475,1716,1511,1596,1507,1515,1716,1628,1507,1600,1592,1676,1632,1596,1684,1592,1680,1423,1592,1684,1515,1688,1551,1596,1636,1427,1471,1588,1600,1724,1592,1724
2016/12/04,2079,1999,1956,2047,1963,1861,2047,2086,2003,1963,1865,2086,2003,1872,1967,2090,1963,1920,1956,2050,2086,2003,1952,2126,1999,2126,1992,1959,1956,1999,2043,1956,2083,1909,1916,1959,2123,1988,1999,2119,1999,2119,2043,2036,2076,2083,2083,1956,2123,1905,2032,1988,2126,1996,2028,1996,1996,1872,1992,1901,2043,2083,1988,1996,1992,1814,2039,1959,2032,1996,1952,2036,2083,1861,1959,2043,2039,1909,1999,1956,2003,2032,2083,2039,1912,1996,1996,1952,2163,1988,1992,1956,1952,1861,1905,2036,1952,1909,1996,1956
2016/12/05,2244,2282,2246,2239,2282,2215,2318,2277,2364,2364,2295,2444,2321,2328,2321,2359,2282,2321,2287,2321,2280,2362,2369,2364,2367,2282,2251,2367,2285,2244,2241,2287,2323,2287,2408,2367,2239,2374,2367,2200,2323,2364,2239,2367,2246,2280,2280,2244,2285,2333,2328,2292,2321,2326,2290,2408,2367,2328,2413,2338,2364,2364,2290,2408,2328,2464,2449,2408,2413,2413,2369,2410,2326,2295,2364,2362,2369,2372,2408,2367,2282,2372,2282,2323,2328,2369,2410,2372,2323,2374,2328,2326,2369,2502,2374,2326,2413,2454,2369,2326
2016/12/06,1595,1638,1636,1679,1682,1671,1682,1684,1640,1682,1634,1643,1642,1719,1768,1686,1766,1725,1721,1725,1682,1684,1638,1642,1679,1680,1632,1640,1638,1677,1766,1679,1682,1593,1684,1723,1723,1636,1682,1634,1642,1684,1721,1725,1593,1725,1642,1595,1636,1591,1764,1673,1725,1719,1632,1723,1640,1760,1721,1675,1725,1727,1632,1721,1721,1675,1766,1766,1719,1807,1805,1766,1723,1677,1807,1603,1805,1723,1725,1723,1723,1764,1764,1723,1719,1721,1805,1801,1849,1718,1762,1766,1764,1680,1721,1766,1723,1766,1807,1723
2016/12/07,35,74,78,115,72,20,70,70,236,195,78,111,72,35,69,20,20,20,20,72,276,275,239,197,197,197,82,154,158,200,234,236,234,241,193,195,154,37,111,78,111,28,117,70,39,20,20,20,20,20,72,20,20,20,20,275,154,35,197,122,191,189,243,193,278,243,234,276,237,150,193,193,195,160,234,109,152,30,150,152,315,319,234,317,321,360,236,280,189,156,115,193,152,195,156,154,70,30,28,20
2016/12/08,1850,1801,1852,1801,1930,1724,1884,1801,1845,1884,1765,1799,1758,1719,1843,1801,1852,1717,1719,1845,1758,1801,1760,1760,1801,1799,1768,1799,1886,1760,1884,1847,1843,1719,1840,1845,1889,1801,1843,1801,1889,1804,1719,1971,1801,1886,1806,1847,1801,1763,1801,1722,1801,1847,1763,1843,1678,1845,1881,1850,2009,1927,1760,1840,1804,1765,1927,1843,1758,1845,1843,1845,1799,1768,1884,1971,1799,1801,1801,1843,1886,1758,1801,1760,1801,1801,1801,1760,1845,1760,1804,1804,1971,1760,1850,1847,1765,1804,1889,1799
2016/12/09,1734,1825,1731,1742,1734,1814,1869,1865,1782,1821,1854,1869,1825,1865,1702,1825,1647,1785,1865,1742,1825,1909,1785,1785,1785,1825,1774,1789,1742,1698,1825,1734,1782,1825,1825,1738,1778,1905,1821,1825,1774,1778,1738,1818,1865,1778,1901,1738,1861,1782,1698,1738,1825,1738,1742,1785,1782,1825,1825,1774,1778,1821,1865,1869,1778,1818,1782,1821,1785,1778,1821,1782,1829,1734,1785,1694,1865,1778,1742,1825,1818,1825,1825,1825,1825,1782,1821,1782,1738,1742,1738,1742,1738,1782,1734,1694,1655,1738,1778,1825
2016/12/10,1435,1471,1443,1511,1350,1439,1511,1515,1551,1511,1435,1463,1467,1467,1463,1551,1475,1511,1511,1463,1511,1555,1515,1471,1507,1511,1475,1551,1511,1600,1467,1471,1427,1551,1511,1596,1467,1471,1471,1596,1519,1431,1475,1471,1511,1511,1439,1475,1559,1511,1475,1391,1427,1431,1511,1592,1519,1519,1551,1479,1511,1555,1555,1547,1555,1475,1551,1592,1507,1439,1555,1511,1592,1555,1551,1475,1511,1431,1592,1511,1511,1427,1467,1511,1511,1511,1467,1431,1515,1467,1471,1511,1471,1471,1515,1636,1475,1592,1519,1551
