column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,1659,1700,1659,1659,1619,1659,1619,1619,1659,1619,1659,1659,1619,1700,1659,1619,1659,1619,1659,1659,1659,1659,1619,1659,1619,1659,1659,1619,1659,1659,1659,1659,1700,1619,1659,1659,1659,1659,1700,1659,1659,1659,1659,1659,1659,1659,1700,1700,1659,1659,1700,1659,1659,1619,1659,1659,1700,1619,1659,1659,1659,1659,1700,1659,1619,1659,1659,1619,1659,1659,1619,1619,1619,1659,1659,1659,1659,1619,1659,1659,1740,1700,1619,1659,1659,1700,1659,1619,1700,1700,1659,1659,1659,1659,1619,1659,1700,1619,1619,1619
2016/12/02,1598,1722,1771,1682,1682,1682,1682,1726,1726,1722,1806,1643,1766,1766,1775,1598,1722,1554,1638,1638,1726,1682,1598,1731,1726,1682,1598,1682,1638,1682,1643,1682,1598,1594,1726,1682,1726,1643,1771,1766,1682,1722,1682,1598,1850,1651,1696,1696,1775,1863,1775,1908,1779,1859,1696,1859,1735,1903,1779,1735,1735,1819,1731,1815,1731,1775,1859,1775,1735,1775,1775,1735,1731,1691,1735,1567,1651,1735,1740,1740,1651,1607,1775,1779,1775,1819,1819,1903,1908,1735,1775,1735,1903,1740,1691,1691,1607,1863,1779,1691
2016/12/03,1676,1712,1580,1628,1668,1624,1628,1668,1628,1628,1499,1624,1544,1588,1499,1551,1547,1680,1628,1628,1544,1588,1592,1503,1588,1588,1592,1628,1636,1592,1584,1588,1628,1680,1544,1624,1584,1547,1584,1628,1544,1544,1544,1592,1584,1700,1660,1652,1656,1572,1620,1572,1532,1532,1536,1612,1616,1576,1528,1532,1616,1572,1660,1576,1540,1572,1612,1536,1620,1576,1580,1616,1536,1540,1696,1628,1660,1540,1491,1572,1620,1745,1540,1576,1616,1572,1576,1528,1528,1620,1616,1580,1532,1532,1696,1660,1580,1616,1572,1540
2016/12/04,2014,2057,2145,2101,1974,2014,2137,2054,2054,2054,2097,2101,2054,2050,2010,2047,2094,1967,2090,2134,2007,2050,2010,2054,2050,1923,1963,2054,2050,2007,2010,2010,2050,2050,1970,1970,1970,2050,2050,2007,2010,1967,2050,2003,2014,1923,2003,1960,2087,1916,2039,2036,2036,1996,1956,2036,2076,1996,1996,1996,1999,2079,2036,2003,1996,1916,1996,1956,1996,1956,1956,1956,1956,1996,2043,1916,1876,1869,1916,1916,1952,1876,1952,1916,1996,1956,1996,1916,1916,1916,1876,1999,1956,1876,1956,1956,1920,1920,2039,1956
2016/12/05,2028,2067,2021,2023,2028,2067,2026,2110,2069,2026,2108,2108,2069,2113,2069,2198,2113,2113,2110,2067,2113,2072,2069,2069,2069,2156,2156,2067,2072,2156,2198,2113,2072,2074,2113,1987,2069,2069,2072,2154,2069,2072,2072,2118,2072,2006,2132,2132,2088,2178,2260,2216,2219,2178,2219,2260,2301,2219,2175,2219,2219,2134,2137,2050,2055,2096,2096,1972,2013,2013,2055,2013,1931,1972,1926,1849,1849,1893,1931,1890,1975,1975,1893,1890,1931,1931,1931,1847,1849,1931,1849,1847,1849,1847,1890,1849,1847,1847,1929,1931
2016/12/06,1556,1595,1512,1552,1552,1591,1632,1593,1512,1636,1680,1475,1591,1673,1593,1721,1634,1638,1679,1595,1636,1638,1636,1719,1634,1679,1593,1636,1556,1636,1636,1640,1716,1677,1634,1677,1634,1677,1677,1677,1634,1679,1714,1721,1636,20,20,20,20,20,20,20,20,20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,20,20,20,20,20,20,15,15,13,15,17,20,20,20,20,17,17,20,20,20,20,20,17,20,20,17
2016/12/07,647,649,651,569,692,735,653,690,731,851,850,809,857,857,731,768,896,770,811,851,937,809,770,811,853,811,853,811,850,851,896,809,896,811,772,812,896,812,892,853,937,972,979,811,974,1074,1076,1037,1078,1161,1117,1159,1202,1076,1118,1078,1115,1035,1204,1078,1241,1118,992,957,959,875,918,1000,1000,959,1079,1044,1128,1078,1041,1410,1454,1454,1454,1411,1454,1454,1413,1373,1207,1124,1245,1332,1376,1248,1165,1246,1250,1209,1209,1204,1206,1202,1207,1248
2016/12/08,1777,1861,1690,1818,1733,1774,1772,1777,1777,1700,1741,1743,1861,1861,1864,1697,1741,1779,1697,1741,1782,1782,1697,1738,1738,1782,1738,1820,1697,1779,1777,1782,1779,1823,1864,1866,1779,1823,1743,1782,1779,1789,1864,1738,1700,1859,1900,1939,1944,1941,1856,1859,1859,1861,1861,1815,1861,1902,1898,1895,1900,1854,1856,1893,1852,1893,1890,1849,1806,1849,1808,1929,1888,1895,1893,1888,1929,1929,2013,1931,1888,1885,1888,1929,1926,1926,1888,1929,1926,1929,1970,1888,1888,1970,1883,1890,1842,1849,1931,1844
2016/12/09,2057,1934,2145,2061,2105,2061,2145,2101,2057,1930,2130,2050,2057,2018,2014,2094,1974,2014,2057,2054,1934,2094,2054,2097,2018,1974,2054,2054,2054,2097,2057,2090,2014,2014,2054,2010,2097,2050,1927,2054,2057,1840,1974,2097,2054,2061,2061,2065,2057,2101,2184,2141,2141,2097,2101,2101,2097,2057,2145,2148,2061,2025,2061,2112,2112,2072,2152,2155,2195,2155,2116,2239,2159,2108,2028,2195,2239,2283,2159,2076,2159,2159,2076,2155,2159,2203,2199,2119,2159,2155,2159,2195,2159,2159,2203,2116,2119,2155,2076,2123
2016/12/10,1901,2034,2030,1990,1986,1986,1990,2034,2034,2030,1957,1953,1946,2030,1994,1865,1905,1905,1909,1913,1905,1869,1905,1994,1946,2030,1950,1994,1994,1990,1990,1869,1950,1994,1909,1865,1909,1909,1869,1950,1946,1953,1986,1905,1905,2195,1994,2110,2034,2074,2034,2162,1994,1953,1990,1909,1990,1950,2070,1946,1986,2022,1946,2022,2070,2106,2066,2062,2066,2062,2195,2062,2187,2066,2066,2066,2062,2106,2102,2187,2191,2151,2187,2143,2231,2187,2183,2227,2139,2187,2143,2066,2102,2147,2143,2187,2147,2191,2191,2183
